OXYMAX CSV DATA FILE 

CSV FILE CREATION:1/2/2014 10:08:23 PM
EXPERIMENT START:9/5/2013 12:13:58 PM
DATA FILENAME:C:\Users\Katherine\Documents\CLAMS\CLAMS runs\Tibor\2013-09-05-Exp 27 Ob prelim #2.CDTA

GROUP/CAGE:0101
O2 CAL Date:
CO2 CAL Date:
SUBJECT ID:ob pctp wt HL M1077
SUBJECT MASS:58.3 G
wt 352:

REFERENCE SETTLE TIME:85 seconds
REFERENCE MEASURE TIME:5 seconds
CAGE SETTLE TIME:85 seconds
CAGE MEASURE TIME:5 seconds
REFERENCE METHOD:EVRYN N=6
HEAT CALCULATION METHOD:STD_0


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,XTOT,XAMB,BODY TEMP,
#,,,ml/kg/hr,%,%,%,l,ml/kg/hr,%,%,%,l,,kcal/hr,LPM,,GRAMS,GRAMS,COUNTS,COUNTS,degC,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
973,0101,9/12/2013 2:23:13 PM ,3459,20.42,19.73,0.68,19.3,2924,0.046,0.642,0.595,17.6,0.845,1.0,0.48,STABLE,0.04,11.96,385,12,31.7,
974,0101,9/12/2013 2:33:43 PM ,3587,20.42,19.71,0.71,19.3,3045,0.046,0.664,0.618,17.6,0.849,1.0,0.48,STABLE,0.03,11.99,400,7,32.2,
975,0101,9/12/2013 2:44:13 PM ,3560,20.42,19.71,0.70,19.3,3053,0.046,0.668,0.622,17.6,0.858,1.0,0.48,STABLE,0.07,12.06,371,27,32.5,
976,0101,9/12/2013 2:54:43 PM ,3476,20.42,19.73,0.69,19.4,2963,0.046,0.648,0.602,17.7,0.852,1.0,0.48,STABLE,0.08,12.14,496,25,32.4,
977,0101,9/12/2013 3:05:13 PM ,2880,20.42,19.85,0.57,19.4,2395,0.046,0.534,0.488,17.7,0.831,0.8,0.48,STABLE,-0.01,12.13,158,3,31.9,
978,0101,9/12/2013 3:15:43 PM ,2861,20.42,19.86,0.56,19.4,2377,0.046,0.528,0.482,17.7,0.831,0.8,0.48,STABLE,0.01,12.14,357,0,31.4,
979,0101,9/12/2013 3:26:13 PM ,2483,20.42,19.93,0.49,19.5,2053,0.046,0.467,0.421,17.7,0.827,0.7,0.47,STABLE,-0.03,12.11,167,0,31.0,
980,0101,9/12/2013 3:36:43 PM ,2485,20.41,19.91,0.50,19.5,2123,0.051,0.491,0.441,17.8,0.854,0.7,0.47,STABLE,0.01,12.12,592,31,30.9,
981,0101,9/12/2013 3:47:13 PM ,2993,20.42,19.83,0.59,19.5,2430,0.051,0.546,0.495,17.8,0.812,0.8,0.48,STABLE,0.02,12.14,578,0,31.4,
982,0101,9/12/2013 3:57:43 PM ,2962,20.42,19.84,0.58,19.5,2431,0.051,0.542,0.492,17.8,0.821,0.8,0.48,STABLE,0.02,12.16,943,99,31.6,
983,0101,9/12/2013 4:08:13 PM ,3144,20.42,19.81,0.61,19.6,2571,0.050,0.571,0.521,17.8,0.818,0.9,0.48,STABLE,0.01,12.17,957,150,31.8,
984,0101,9/12/2013 4:18:43 PM ,3216,20.42,19.79,0.63,19.6,2653,0.049,0.589,0.539,17.9,0.825,0.9,0.48,STABLE,-0.01,12.16,397,9,32.0,
985,0101,9/12/2013 4:29:13 PM ,3376,20.42,19.77,0.66,19.6,2770,0.049,0.609,0.560,17.9,0.821,0.9,0.48,STABLE,0.05,12.21,327,13,31.8,
986,0101,9/12/2013 4:39:43 PM ,3413,20.42,19.75,0.67,19.7,2812,0.049,0.620,0.571,17.9,0.824,1.0,0.48,STABLE,0.02,12.23,160,6,31.8,
987,0101,9/12/2013 4:50:13 PM ,3393,20.42,19.76,0.66,19.7,2789,0.049,0.615,0.566,17.9,0.822,1.0,0.48,STABLE,0.07,12.30,140,14,31.6,
988,0101,9/12/2013 5:00:43 PM ,3325,20.42,19.76,0.66,19.7,2760,0.048,0.612,0.564,18.0,0.830,0.9,0.48,STABLE,0.03,12.33,645,22,31.6,
989,0101,9/12/2013 5:11:13 PM ,2972,20.42,19.84,0.58,19.8,2431,0.048,0.545,0.497,18.0,0.818,0.8,0.48,STABLE,0.03,12.36,51,10,31.4,
990,0101,9/12/2013 5:21:43 PM ,2936,20.42,19.84,0.58,19.8,2429,0.048,0.546,0.498,18.0,0.827,0.8,0.47,STABLE,-0.01,12.35,373,0,31.2,
991,0101,9/12/2013 5:32:13 PM ,2987,20.42,19.83,0.59,19.8,2466,0.047,0.552,0.505,18.0,0.826,0.8,0.47,STABLE,-0.01,12.34,1275,0,31.0,
992,0101,9/12/2013 5:42:43 PM ,3082,20.42,19.81,0.61,19.9,2544,0.047,0.567,0.520,18.1,0.826,0.9,0.48,STABLE,0.01,12.35,659,0,30.8,
993,0101,9/12/2013 5:53:13 PM ,3321,20.41,19.75,0.66,19.9,2811,0.047,0.623,0.576,18.1,0.846,0.9,0.47,STABLE,0.00,12.35,395,17,31.1,
994,0101,9/12/2013 6:03:43 PM ,3422,20.42,19.74,0.67,19.9,2868,0.047,0.632,0.585,18.1,0.838,1.0,0.48,STABLE,0.03,12.38,243,19,31.6,
995,0101,9/12/2013 6:14:13 PM ,3444,20.42,19.74,0.68,20.0,2885,0.047,0.636,0.589,18.2,0.838,1.0,0.48,STABLE,0.01,12.39,394,22,31.8,
996,0101,9/12/2013 6:24:43 PM ,3416,20.42,19.74,0.68,20.0,2865,0.046,0.634,0.588,18.2,0.839,1.0,0.47,STABLE,0.04,12.43,470,29,31.9,
997,0101,9/12/2013 6:35:13 PM ,3067,20.42,19.81,0.60,20.0,2485,0.046,0.555,0.508,18.2,0.810,0.9,0.48,STABLE,-0.01,12.42,37,0,31.8,
998,0101,9/12/2013 6:45:43 PM ,3137,20.42,19.80,0.62,20.1,2573,0.046,0.570,0.524,18.2,0.820,0.9,0.48,STABLE,0.00,12.42,116,9,31.6,
999,0101,9/12/2013 6:56:13 PM ,3341,20.42,19.76,0.66,20.1,2764,0.046,0.610,0.564,18.3,0.827,0.9,0.48,STABLE,0.04,12.46,231,38,31.6,
1000,0101,9/12/2013 7:06:43 PM ,3229,20.42,19.78,0.63,20.1,2637,0.046,0.584,0.538,18.3,0.817,0.9,0.48,STABLE,-0.01,12.45,450,16,31.7,
1001,0101,9/12/2013 7:17:13 PM ,3265,20.41,19.77,0.64,20.2,2689,0.046,0.596,0.550,18.3,0.824,0.9,0.48,STABLE,0.06,12.51,387,36,31.5,
1002,0101,9/12/2013 7:27:43 PM ,2837,20.42,19.86,0.56,20.2,2274,0.046,0.512,0.466,18.3,0.802,0.8,0.47,STABLE,0.01,12.52,29,1,31.1,
1003,0101,9/12/2013 7:38:13 PM ,2804,20.42,19.86,0.55,20.2,2264,0.046,0.510,0.464,18.4,0.808,0.8,0.47,STABLE,-0.01,12.51,676,0,30.6,
1004,0101,9/12/2013 7:48:43 PM ,2832,20.42,19.86,0.56,20.2,2293,0.046,0.517,0.471,18.4,0.810,0.8,0.47,STABLE,0.00,12.51,677,0,30.3,
1005,0101,9/12/2013 7:59:13 PM ,2826,20.42,19.86,0.56,20.3,2274,0.046,0.512,0.466,18.4,0.805,0.8,0.47,STABLE,0.00,12.51,183,0,30.1,
1006,0101,9/12/2013 8:09:43 PM ,2925,20.42,19.84,0.58,20.3,2381,0.045,0.534,0.489,18.4,0.814,0.8,0.47,STABLE,0.00,12.51,364,0,29.9,
1007,0101,9/12/2013 8:20:13 PM ,3215,20.42,19.78,0.63,20.3,2637,0.045,0.585,0.540,18.5,0.820,0.9,0.47,STABLE,0.03,12.54,618,37,30.0,
1008,0101,9/12/2013 8:30:43 PM ,3219,20.42,19.78,0.64,20.4,2625,0.045,0.584,0.539,18.5,0.815,0.9,0.47,STABLE,-0.02,12.52,436,3,30.1,
1009,0101,9/12/2013 8:41:13 PM ,3227,20.42,19.78,0.63,20.4,2594,0.045,0.577,0.532,18.5,0.804,0.9,0.47,STABLE,0.03,12.55,408,15,30.4,
1010,0101,9/12/2013 8:51:43 PM ,3121,20.42,19.80,0.62,20.4,2535,0.045,0.565,0.520,18.5,0.812,0.9,0.47,STABLE,0.02,12.57,163,12,30.5,
1011,0101,9/12/2013 9:02:13 PM ,2887,20.42,19.85,0.57,20.5,2288,0.045,0.515,0.470,18.6,0.793,0.8,0.47,STABLE,0.00,12.57,1004,0,30.3,
1012,0101,9/12/2013 9:12:43 PM ,2903,20.42,19.85,0.57,20.5,2318,0.045,0.520,0.475,18.6,0.798,0.8,0.47,STABLE,0.01,12.58,1831,259,30.1,
1013,0101,9/12/2013 9:23:13 PM ,3115,20.42,19.80,0.62,20.5,2543,0.045,0.567,0.522,18.6,0.816,0.9,0.47,STABLE,-0.02,12.56,724,90,30.1,
1014,0101,9/12/2013 9:33:43 PM ,3246,20.42,19.78,0.64,20.6,2623,0.045,0.584,0.538,18.6,0.808,0.9,0.47,STABLE,0.01,12.57,322,12,30.5,
1015,0101,9/12/2013 9:44:13 PM ,3119,20.42,19.80,0.61,20.6,2492,0.045,0.556,0.511,18.7,0.799,0.9,0.47,STABLE,0.03,12.60,233,12,30.5,
1016,0101,9/12/2013 9:54:43 PM ,2708,20.42,19.88,0.53,20.6,2115,0.045,0.480,0.435,18.7,0.781,0.8,0.47,STABLE,-0.01,12.59,1,1,30.2,
1017,0101,9/12/2013 10:05:13 PM ,2659,20.42,19.90,0.52,20.6,2085,0.045,0.473,0.428,18.7,0.784,0.7,0.47,STABLE,0.01,12.60,24,1,29.6,
1018,0101,9/12/2013 10:15:43 PM ,2666,20.42,19.90,0.52,20.7,2098,0.045,0.475,0.431,18.7,0.787,0.7,0.47,STABLE,-0.01,12.59,292,0,29.2,
1019,0101,9/12/2013 10:26:13 PM ,2620,20.42,19.90,0.52,20.7,2067,0.045,0.470,0.425,18.8,0.789,0.7,0.47,STABLE,0.00,12.59,488,0,28.9,
1020,0101,9/12/2013 10:36:43 PM ,2651,20.42,19.90,0.52,20.7,2083,0.045,0.472,0.428,18.8,0.785,0.7,0.47,STABLE,0.00,12.59,183,0,28.6,
1021,0101,9/12/2013 10:47:13 PM ,2585,20.42,19.91,0.51,20.8,2028,0.045,0.462,0.417,18.8,0.785,0.7,0.47,STABLE,-0.01,12.58,143,0,28.3,
1022,0101,9/12/2013 10:57:43 PM ,2543,20.42,19.92,0.50,20.8,1999,0.045,0.456,0.411,18.8,0.786,0.7,0.47,STABLE,0.00,12.58,421,0,27.9,
1023,0101,9/12/2013 11:08:13 PM ,2526,20.42,19.92,0.50,20.8,1977,0.045,0.451,0.406,18.8,0.783,0.7,0.47,STABLE,0.00,12.58,232,0,27.6,
1024,0101,9/12/2013 11:18:43 PM ,2480,20.42,19.93,0.49,20.8,1925,0.045,0.441,0.396,18.9,0.776,0.7,0.47,STABLE,-0.01,12.57,70,0,27.3,
1025,0101,9/12/2013 11:29:13 PM ,2446,20.42,19.94,0.48,20.9,1911,0.045,0.437,0.392,18.9,0.781,0.7,0.47,STABLE,0.01,12.58,70,0,26.9,
1026,0101,9/12/2013 11:39:43 PM ,2339,20.42,19.96,0.46,20.9,1802,0.045,0.415,0.371,18.9,0.770,0.6,0.47,STABLE,-0.02,12.56,20,0,26.5,
1027,0101,9/12/2013 11:50:13 PM ,2227,20.42,19.98,0.44,20.9,1720,0.045,0.398,0.353,18.9,0.772,0.6,0.47,STABLE,0.02,12.58,48,0,26.0,
1028,0101,9/13/2013 12:00:43 AM ,2192,20.42,19.99,0.43,20.9,1718,0.045,0.397,0.352,18.9,0.784,0.6,0.47,STABLE,-0.02,12.56,1,0,25.5,
1029,0101,9/13/2013 12:11:13 AM ,2122,20.42,20.00,0.42,21.0,1661,0.045,0.386,0.341,18.9,0.783,0.6,0.47,STABLE,0.01,12.57,4,0,24.9,
1030,0101,9/13/2013 12:21:43 AM ,1996,20.42,20.03,0.39,21.0,1543,0.045,0.361,0.316,19.0,0.773,0.6,0.47,STABLE,0.00,12.57,31,0,24.4,
1031,0101,9/13/2013 12:32:13 AM ,1792,20.42,20.06,0.35,21.0,1394,0.045,0.332,0.287,19.0,0.778,0.5,0.47,STABLE,-0.01,12.56,2,0,23.7,
1032,0101,9/13/2013 12:42:43 AM ,1754,20.42,20.07,0.34,21.0,1366,0.045,0.326,0.281,19.0,0.779,0.5,0.47,STABLE,0.01,12.57,483,13,22.8,
1033,0101,9/13/2013 12:53:13 AM ,1580,20.42,20.11,0.31,21.0,1222,0.045,0.297,0.252,19.0,0.774,0.4,0.47,STABLE,-0.01,12.56,35,0,21.8,
1034,0101,9/13/2013 1:03:43 AM ,1449,20.42,20.13,0.29,21.0,1147,0.045,0.282,0.237,19.0,0.792,0.4,0.47,STABLE,-0.01,12.55,105,15,20.7,
1035,0101,9/13/2013 1:14:13 AM ,1295,20.42,20.16,0.26,21.1,1021,0.045,0.256,0.210,19.0,0.788,0.4,0.47,STABLE,0.01,12.56,15,0,19.6,
1036,0101,9/13/2013 1:24:43 AM ,1105,20.42,20.20,0.22,21.1,882,0.045,0.226,0.181,19.0,0.798,0.3,0.47,STABLE,0.00,12.56,1,0,18.4,
1037,0101,9/13/2013 1:35:13 AM ,950,20.42,20.23,0.19,21.1,772,0.045,0.204,0.159,19.0,0.812,0.3,0.47,STABLE,-0.02,12.54,12,7,17.2,
1038,0101,9/13/2013 1:45:43 AM ,764,20.42,20.27,0.15,21.1,623,0.045,0.173,0.128,19.1,0.816,0.2,0.47,STABLE,0.02,12.56,0,0,16.5,
1039,0101,9/13/2013 1:56:13 AM ,532,20.42,20.31,0.11,21.1,457,0.045,0.139,0.094,19.1,0.859,0.2,0.47,STABLE,-0.01,12.55,0,0,20.7,
1040,0101,9/13/2013 2:06:43 AM ,372,20.42,20.34,0.07,21.1,322,0.045,0.111,0.066,19.1,0.866,0.1,0.47,STABLE,-0.01,12.54,0,0,30.3,
1041,0101,9/13/2013 2:17:13 AM ,247,20.42,20.37,0.05,21.1,224,0.045,0.091,0.046,19.1,0.907,0.1,0.47,STABLE,0.01,12.55,0,0,28.9,
1042,0101,9/13/2013 2:27:43 AM ,161,20.42,20.38,0.03,21.1,162,0.045,0.078,0.033,19.1,1.007,0.0,0.47,STABLE,-0.01,12.54,0,0,26.9,
1043,0101,9/13/2013 2:38:13 AM ,112,20.42,20.40,0.02,21.1,129,0.044,0.071,0.026,19.1,1.147,0.0,0.47,STABLE,0.00,12.54,0,0,25.1,
1044,0101,9/13/2013 2:48:43 AM ,89,20.42,20.40,0.02,21.1,112,0.045,0.067,0.023,19.1,1.255,0.0,0.47,STABLE,0.01,12.55,0,0,24.0,
1045,0101,9/13/2013 2:59:13 AM ,72,20.42,20.40,0.02,21.1,104,0.044,0.066,0.021,19.1,1.457,0.0,0.48,STABLE,-0.01,12.54,0,0,23.0,
1046,0101,9/13/2013 3:09:43 AM ,40,20.42,20.41,0.01,21.1,75,0.044,0.060,0.015,19.1,1.851,0.0,0.47,STABLE,-0.01,12.53,0,0,22.2,
1047,0101,9/13/2013 3:20:13 AM ,8,20.42,20.42,0.00,21.1,56,0.044,0.056,0.012,19.1,7.110,0.0,0.47,STABLE,0.01,12.54,0,0,21.5,
1048,0101,9/13/2013 3:30:43 AM ,-1,20.42,20.42,0.00,21.1,53,0.044,0.055,0.011,19.1,-46.423,0.0,0.48,STABLE,-0.01,12.53,0,0,20.8,
1049,0101,9/13/2013 3:41:13 AM ,17,20.42,20.42,0.00,21.1,48,0.044,0.054,0.010,19.1,2.737,0.0,0.47,STABLE,0.00,12.53,0,0,20.3,
1050,0101,9/13/2013 3:51:43 AM ,5,20.42,20.42,0.00,21.1,44,0.044,0.053,0.009,19.1,8.508,0.0,0.47,STABLE,0.01,12.54,0,0,19.8,
1051,0101,9/13/2013 4:02:13 AM ,18,20.42,20.42,0.00,21.1,42,0.044,0.053,0.009,19.1,2.359,0.0,0.47,STABLE,-0.02,12.52,0,0,19.5,
1052,0101,9/13/2013 4:12:43 AM ,0,20.42,20.42,0.00,21.1,42,0.044,0.052,0.008,19.1,-2366.904,0.0,0.48,STABLE,0.01,12.53,0,0,19.5,
1053,0101,9/13/2013 4:23:13 AM ,19,20.42,20.42,0.00,21.1,37,0.044,0.052,0.007,19.1,1.891,0.0,0.48,STABLE,0.00,12.53,0,0,21.4,
1054,0101,9/13/2013 4:33:43 AM ,6,20.42,20.42,0.00,21.1,35,0.044,0.051,0.007,19.1,6.169,0.0,0.48,STABLE,-0.01,12.52,0,0,23.2,
1055,0101,9/13/2013 4:44:13 AM ,1,20.42,20.42,0.00,21.1,36,0.044,0.051,0.007,19.1,53.204,0.0,0.48,STABLE,0.01,12.53,0,0,23.1,
1056,0101,9/13/2013 4:54:43 AM ,5,20.42,20.42,0.00,21.1,33,0.044,0.051,0.007,19.1,6.606,0.0,0.47,STABLE,-0.01,12.52,0,0,22.8,
1057,0101,9/13/2013 5:05:13 AM ,-3,20.42,20.42,0.00,21.1,33,0.044,0.051,0.007,19.1,-9.845,0.0,0.48,STABLE,0.00,12.52,0,0,22.6,
1058,0101,9/13/2013 5:15:43 AM ,11,20.42,20.42,0.00,21.1,31,0.044,0.050,0.006,19.1,2.863,0.0,0.47,STABLE,0.00,12.52,0,0,22.4,
1059,0101,9/13/2013 5:26:13 AM ,12,20.42,20.42,0.00,21.1,29,0.044,0.050,0.006,19.1,2.429,0.0,0.48,STABLE,0.00,12.52,0,0,22.2,
1060,0101,9/13/2013 5:36:43 AM ,-4,20.42,20.42,0.00,21.1,29,0.044,0.050,0.006,19.1,-7.958,0.0,0.48,STABLE,-0.01,12.51,0,0,22.1,
1061,0101,9/13/2013 5:47:13 AM ,-4,20.42,20.42,0.00,21.1,29,0.044,0.050,0.006,19.1,-7.404,0.0,0.47,STABLE,0.01,12.52,0,0,22.0,
1062,0101,9/13/2013 5:57:43 AM ,-1,20.42,20.42,0.00,21.1,26,0.044,0.050,0.005,19.1,-27.298,0.0,0.47,STABLE,0.00,12.52,0,0,21.9,
1063,0101,9/13/2013 6:08:13 AM ,-4,20.42,20.42,0.00,21.1,27,0.044,0.050,0.006,19.1,-7.243,0.0,0.47,STABLE,-0.01,12.51,0,0,21.7,
1064,0101,9/13/2013 6:18:43 AM ,13,20.42,20.42,0.00,21.1,28,0.044,0.050,0.006,19.1,2.091,0.0,0.48,STABLE,0.02,12.53,0,0,21.8,
1065,0101,9/13/2013 6:29:13 AM ,2,20.42,20.42,0.00,21.1,25,0.044,0.050,0.005,19.1,14.681,0.0,0.47,STABLE,-0.02,12.51,0,0,21.8,
1066,0101,9/13/2013 6:39:43 AM ,7,20.42,20.42,0.00,21.1,25,0.044,0.050,0.005,19.1,3.394,0.0,0.47,STABLE,0.01,12.52,0,0,21.7,
1067,0101,9/13/2013 6:50:13 AM ,5,20.42,20.42,0.00,21.1,25,0.044,0.050,0.005,19.1,4.870,0.0,0.48,STABLE,-0.01,12.51,0,0,21.7,
1068,0101,9/13/2013 7:00:43 AM ,4,20.42,20.42,0.00,21.1,24,0.045,0.050,0.005,19.1,5.688,0.0,0.47,STABLE,0.00,12.51,0,0,21.6,
1069,0101,9/13/2013 7:11:13 AM ,-5,20.42,20.42,0.00,21.1,24,0.045,0.050,0.005,19.1,-4.404,0.0,0.47,STABLE,0.00,12.51,0,0,21.6,
1070,0101,9/13/2013 7:21:43 AM ,10,20.42,20.42,0.00,21.1,23,0.045,0.050,0.005,19.1,2.272,0.0,0.47,STABLE,-0.01,12.50,0,0,21.6,
1071,0101,9/13/2013 7:32:13 AM ,14,20.42,20.42,0.00,21.1,23,0.045,0.050,0.005,19.1,1.572,0.0,0.48,STABLE,0.01,12.51,0,0,21.6,
1072,0101,9/13/2013 7:42:43 AM ,9,20.42,20.42,0.00,21.1,23,0.045,0.050,0.005,19.1,2.561,0.0,0.47,STABLE,-0.01,12.50,0,0,21.5,
1073,0101,9/13/2013 7:53:13 AM ,10,20.42,20.42,0.00,21.1,23,0.045,0.050,0.005,19.1,2.210,0.0,0.47,STABLE,0.01,12.51,0,0,21.6,
1074,0101,9/13/2013 8:03:43 AM ,12,20.42,20.42,0.00,21.1,21,0.045,0.050,0.004,19.1,1.792,0.0,0.47,STABLE,-0.01,12.50,0,0,21.5,
1075,0101,9/13/2013 8:14:13 AM ,4,20.42,20.42,0.00,21.1,24,0.045,0.050,0.005,19.1,6.100,0.0,0.47,STABLE,-0.01,12.49,0,0,21.5,
1076,0101,9/13/2013 8:24:43 AM ,8,20.42,20.42,0.00,21.1,22,0.045,0.050,0.005,19.1,2.679,0.0,0.47,STABLE,0.01,12.50,2,0,21.5,
1077,0101,9/13/2013 8:35:13 AM ,10,20.41,20.41,0.00,21.1,12,0.055,0.057,0.003,19.1,1.202,0.0,0.47,STABLE,-0.02,12.48,0,0,21.7,
1078,0101,9/13/2013 8:45:43 AM ,0,20.41,20.41,0.00,21.1,14,0.056,0.059,0.003,19.1,173.411,0.0,0.47,STABLE,0.01,12.49,0,0,21.8,
1079,0101,9/13/2013 8:56:13 AM ,6,20.42,20.41,0.00,21.1,15,0.056,0.059,0.003,19.1,2.402,0.0,0.47,STABLE,0.00,12.49,0,0,21.8,

:EVENTS
===============,===============,===============,===============
INTERVAL,,DATE/TIME,DESC.
===============,===============,===============,===============
 261 ,,9/7/2013 9:46:40 AM ,weighed mice; changed to 22C
 814 ,,9/11/2013 10:33:25 AM ,weighed all mice; changed to 4C
